dataset,model,split,fold,class,num_preds,num_gts,precision,recall,f1-score,mAP@50,mAP@50_95
Coastline,OpenWater,test,3,boat,37402,3440,0.1595346927642822,0.1116279065608978,0.1313493996858596,0.0576447760156225,0.0076875617901578
Coastline,OpenWater,test,3,swimmer,7343,7626,0.0088876541703939,0.0083923423662781,0.0086328946053981,0.0043992368504567,0.000863981854046
Coastline,OpenWater,test,4,all,8872,12720,0.5002306550741196,0.3098298460245132,0.3821529373526573,0.3830717625710397,0.0816588927733288
Coastline,OpenWater,test,4,boat,2272,3440,0.7894479632377625,0.4697674512863159,0.5890286564826965,0.6449056760171783,0.1286096415312331
Coastline,OpenWater,test,4,swimmer,6600,9280,0.2110133469104766,0.1498922407627105,0.1752772182226181,0.1212378491249011,0.0347081440154246
Coastline,OpenWater,test,5,all,1262,2349,0.1606982946395874,0.0795303508639335,0.1064018905162811,0.0986362387186954,0.029040629596733
Coastline,OpenWater,test,5,boat,142,92,0.0,0.0,0.0,0.0,0.0
Coastline,OpenWater,test,5,swimmer,1120,2257,0.3213965892791748,0.1590607017278671,0.2128037810325622,0.1972724774373908,0.058081259193466
CoastlineV2Big,CoastlineV2Big,train,0,all,192416,140757,0.6765374392271042,0.711337223649025,0.6930346488952637,0.6885315426608821,0.5417966459508982
CoastlineV2Big,CoastlineV2Big,train,0,boat,77446,68455,0.9177416563034058,0.9301292896270752,0.923893928527832,0.9667352441019492,0.8364908496815664
CoastlineV2Big,CoastlineV2Big,train,0,swimmer,114970,72302,0.4353332221508026,0.4925451576709747,0.4621753692626953,0.4103278412198151,0.2471024422202299
CoastlineV2Big,CoastlineV2Big,train,1,all,130038,140916,0.824312835931778,0.7033242732286453,0.7546656429767609,0.7707802148322624,0.618002204866742
CoastlineV2Big,CoastlineV2Big,train,1,boat,71994,68547,0.9725946187973022,0.9334763288497924,0.95263409614563,0.9741367678296732,0.86661029256652
CoastlineV2Big,CoastlineV2Big,train,1,swimmer,58044,72369,0.6760310530662537,0.4731722176074981,0.5566971898078918,0.5674236618348515,0.3693941171669638
CoastlineV2Big,CoastlineV2Big,train,2,all,127171,140692,0.8364029824733734,0.7004938423633575,0.75743368268013,0.7742597747963791,0.6189617464989734
CoastlineV2Big,CoastlineV2Big,train,2,boat,71105,68053,0.977956771850586,0.9296430945396424,0.9531881213188172,0.9735724559436204,0.863987049132836
CoastlineV2Big,CoastlineV2Big,train,2,swimmer,56066,72639,0.6948491930961609,0.4713445901870727,0.5616792440414429,0.5749470936491377,0.3739364438651108
CoastlineV2Big,CoastlineV2Big,train,3,all,188994,139275,0.6860352009534836,0.7273033857345581,0.7056026309728622,0.699165999564716,0.5482482695744809
CoastlineV2Big,CoastlineV2Big,train,3,boat,75559,68053,0.9244827032089232,0.944778323173523,0.9345203042030334,0.9716487078606604,0.8408158471493202
CoastlineV2Big,CoastlineV2Big,train,3,swimmer,113435,71222,0.4475876986980438,0.5098284482955933,0.476684957742691,0.4266832912687717,0.2556806919996416
CoastlineV2Big,CoastlineV2Big,train,4,all,182764,131805,0.6814973950386047,0.7284500002861023,0.7033066898584366,0.6979722939721804,0.5561059975629368
CoastlineV2Big,CoastlineV2Big,train,4,boat,72263,65107,0.9204524755477904,0.934830367565155,0.9275857210159302,0.96638746340689,0.8510527691677694
CoastlineV2Big,CoastlineV2Big,train,4,swimmer,110501,66698,0.4425423145294189,0.5220696330070496,0.479027658700943,0.4295571245374708,0.261159225958104
CoastlineV2Big,CoastlineV2Big,train,5,all,122237,136824,0.8142053186893463,0.6932577341794968,0.744171679019928,0.7608644036459354,0.6128514148632266
CoastlineV2Big,CoastlineV2Big,train,5,boat,71922,68455,0.9720267057418824,0.9340004324913024,0.952634334564209,0.9743226920636614,0.8673342480029612
CoastlineV2Big,CoastlineV2Big,train,5,swimmer,50315,68369,0.6563839316368103,0.452515035867691,0.535709023475647,0.5474061152282095,0.3583685817234919
CoastlineV2Big,CoastlineV2Big,val,0,all,20034,22034,0.5944055318832397,0.5176560133695602,0.5533359944820404,0.5484445542094749,0.3198989608258229
CoastlineV2Big,CoastlineV2Big,val,0,boat,7774,9026,0.859992265701294,0.7404165863990784,0.7957373857498169,0.8240187328316992,0.5342280289309457
CoastlineV2Big,CoastlineV2Big,val,0,swimmer,12260,13008,0.3288187980651855,0.2948954403400421,0.3109346032142639,0.2728703755872505,0.1055698927207001
CoastlineV2Big,CoastlineV2Big,val,1,all,12773,20641,0.6434403210878372,0.4505112692713737,0.524220660328865,0.5378434142815893,0.3087155267142585
CoastlineV2Big,CoastlineV2Big,val,1,boat,7111,8934,0.900239884853363,0.7141258120536804,0.796454668045044,0.8190256395096089,0.525841046791993
CoastlineV2Big,CoastlineV2Big,val,1,swimmer,5662,11707,0.3866407573223114,0.186896726489067,0.2519866526126861,0.2566611890535697,0.091590006636524
CoastlineV2Big,CoastlineV2Big,val,2,all,12295,21875,0.6528759598731995,0.4258135259151459,0.5083947777748108,0.5194733630731923,0.3073314136202971
CoastlineV2Big,CoastlineV2Big,val,2,boat,6727,8934,0.8981715440750122,0.6762928366661072,0.7715982794761658,0.7871876432835379,0.5172169587638191
CoastlineV2Big,CoastlineV2Big,val,2,swimmer,5568,12941,0.4075803756713867,0.1753342151641845,0.2451912760734558,0.2517590828628466,0.0974458684767751
CoastlineV2Big,CoastlineV2Big,val,3,all,19648,20865,0.5883734226226807,0.4867437332868576,0.5327374786138535,0.5145300896192906,0.3037210896202677
CoastlineV2Big,CoastlineV2Big,val,3,boat,7858,9428,0.8518141508102417,0.709694504737854,0.7742868661880493,0.8040444161128979,0.5237991317516211
CoastlineV2Big,CoastlineV2Big,val,3,swimmer,11790,11437,0.3249326944351196,0.2637929618358612,0.2911880910396576,0.2250157631256832,0.0836430474889143
CoastlineV2Big,CoastlineV2Big,val,4,all,27202,27053,0.5089530721306801,0.5224357545375824,0.5154953896999359,0.5068353347610279,0.2947943522493573
CoastlineV2Big,CoastlineV2Big,val,4,boat,12910,12374,0.7776400446891785,0.8111362457275391,0.7940350770950317,0.8422366412770477,0.5271714614537444
CoastlineV2Big,CoastlineV2Big,val,4,swimmer,14292,14679,0.2402660995721817,0.2337352633476257,0.2369557023048401,0.1714340282450082,0.0624172430449702
CoastlineV2Big,CoastlineV2Big,val,5,all,16335,28335,0.7280116379261017,0.485928900539875,0.566894918680191,0.5962602520581128,0.3758083531581134
CoastlineV2Big,CoastlineV2Big,val,5,boat,10251,12374,0.9321041703224182,0.7721835970878601,0.844640851020813,0.8646510957502666,0.6219633629082448
CoastlineV2Big,CoastlineV2Big,val,5,swimmer,6084,15961,0.5239191055297852,0.1996742039918899,0.2891489863395691,0.3278694083659591,0.1296533434079821
CoastlineV2,CoastlineV2,train,0,all,177788,265896,0.899460315704346,0.694576606154442,0.769475191831589,0.799986761263249,0.605155845930198
CoastlineV2,CoastlineV2,train,0,boat,71945,73182,0.963433086872101,0.930297076702118,0.946575164794922,0.962594181694028,0.835778851902187
CoastlineV2,CoastlineV2,train,0,swimmer,105843,192714,0.835487544536591,0.458856135606766,0.592375218868256,0.63737934083247,0.374532839958209
dataset,model,split,fold,class,num_preds,num_gts,precision,recall,f1-score,mAP@50,mAP@50_95
CoastlineV2,CoastlineV2,val,0,all,18790,44933,0.726299226284027,0.446461953222752,0.529403120279312,0.591529945826337,0.336549448491523
CoastlineV2,CoastlineV2,val,0,boat,7659,9313,0.86167711019516,0.70836466550827,0.777535498142242,0.806729651373035,0.524908698305272
CoastlineV2,CoastlineV2,val,0,swimmer,11131,35620,0.590921342372894,0.184559240937233,0.281270742416382,0.376330240279638,0.148190198677774
Merged,Classification,test,0,all,28108,39302,0.827745646238327,0.617601573467255,0.697069019079208,0.710847776036476,0.35477881547675
Merged,Classification,test,0,boat,16770,18521,0.923971354961395,0.836617887020111,0.878127574920654,0.895142784944011,0.510564498442756
Merged,Classification,test,0,swimmer,11338,20781,0.731519937515259,0.398585259914398,0.516010463237762,0.526552767128941,0.198993132510744
Merged,Classification,test,1,all,19601,28098,0.852540135383606,0.616586402058601,0.708282202482224,0.752524016089382,0.433416724256517
Merged,Classification,test,1,boat,10355,11587,0.944859623908997,0.807456612586975,0.870771050453186,0.89918020853308,0.613937692102832
Merged,Classification,test,1,swimmer,9246,16511,0.760220646858215,0.425716191530228,0.545793354511261,0.605867823645683,0.252895756410202
Merged,Classification,test,2,all,37250,38352,0.90286710858345,0.855246096849442,0.878093302249908,0.889778664481868,0.596322922474217
Merged,Classification,test,2,boat,13526,13502,0.976507008075714,0.957413733005524,0.966866075992584,0.975861931747887,0.755504624521689
Merged,Classification,test,2,swimmer,23724,24850,0.829227209091187,0.753078460693359,0.789320528507233,0.803695397215848,0.437141220426745
Merged,Classification,test,3,all,13896,21920,0.63774262368679,0.410438872873783,0.499217823147774,0.506823473018632,0.303110396571123
Merged,Classification,test,3,boat,6787,10281,0.947531342506409,0.625328302383423,0.753427863121033,0.787003696693394,0.535741975059134
Merged,Classification,test,3,swimmer,7109,11639,0.327953904867172,0.195549443364143,0.245007783174515,0.22664324934387,0.0704788180831131
Merged,Classification,test,4,all,51798,46832,0.707585364580154,0.502623334527016,0.582787781953812,0.594040291568105,0.320866864300862
Merged,Classification,test,4,boat,21249,21528,0.888283550739288,0.719481587409973,0.795021116733551,0.830111587824153,0.510348427081164
Merged,Classification,test,4,swimmer,30549,25304,0.526887178421021,0.285765081644058,0.370554447174072,0.357968995312056,0.13138530152056
