Class,Precision,Recall,F1,Accuracy
Coastline,1.000000,1.000000,1.000000,
OpenWater,1.000000,1.000000,1.000000,
Macro Avg,1.000000,1.000000,1.000000,
Accuracy,,,,1.000000
