metric,Coastline,OpenWater,accuracy,macro avg,weighted avg
precision,1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000)
recall,1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000)
f1-score,1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000),1.000000 ± 0.000000 (±0.000000)
accuracy,1.000000 ± 0.000000 (±0.000000),,,,
