dataset,tracker,new_track_thresh,match_thresh,fold,class,num_frames,num_objects,num_detections,num_misses,num_false_positives,num_switches,sum_overlap,num_matches,mota,motp,idf1
Merged,ByteTrack,0.5,0.8,2,boat,24872,60516,57156,3360,2869,599,4557.56023,56557,0.88717,0.080583,0.948325
Merged,ByteTrack,0.5,0.8,2,swimmer,34201,91769,76646,15123,2605,398,12911.612244,76248,0.802482,0.169337,0.89634
Merged,ByteTrack,0.5,0.8,3,all,58907,180727,157525,23202,6434,693,24214.304663,156832,0.832183,0.154396,0.91402
Merged,ByteTrack,0.5,0.8,3,boat,25629,67416,64624,2792,2012,204,5694.221448,64420,0.925715,0.088392,0.964163
Merged,ByteTrack,0.5,0.8,3,swimmer,33278,113311,92901,20410,4422,489,18520.083215,92412,0.776535,0.200408,0.882108
Merged,ByteTrack,0.5,0.8,4,all,38559,118955,97203,21752,3946,617,14299.422408,96586,0.778782,0.148049,0.883246
Merged,ByteTrack,0.5,0.8,4,boat,17865,50543,48109,2434,1681,331,3936.728164,47778,0.912035,0.082396,0.958987
Merged,ByteTrack,0.5,0.8,4,swimmer,20694,68412,49094,19318,2265,286,10362.694244,48808,0.680334,0.212315,0.819798
Merged,ByteTrack,0.5,0.8,5,all,53356,147199,118481,28718,5189,1320,15483.395631,117161,0.760685,0.132155,0.874821
Merged,ByteTrack,0.5,0.8,5,boat,23871,62828,59281,3547,2177,713,4375.361522,58568,0.897546,0.074706,0.953945
Merged,ByteTrack,0.5,0.8,5,swimmer,29485,84371,59200,25171,3012,607,11108.034109,58593,0.658769,0.18958,0.807734
OpenWater,BotSort,0.2,0.5,0,all,46604,143223,128330,14893,2425,1759,12654.645697,126571,0.866802,0.099981,0.936791
OpenWater,BotSort,0.2,0.5,0,boat,22496,57366,56018,1348,743,209,3184.850828,55809,0.959907,0.057067,0.981678
OpenWater,BotSort,0.2,0.5,0,swimmer,24108,85857,72312,13545,1682,1550,9469.794869,70762,0.804594,0.133826,0.904743
OpenWater,BotSort,0.2,0.5,1,all,45712,144254,115987,28267,3634,3185,14153.599147,112802,0.756776,0.125473,0.879106
OpenWater,BotSort,0.2,0.5,1,boat,21994,62879,60569,2310,1025,461,5077.680879,60108,0.93963,0.084476,0.973207
OpenWater,BotSort,0.2,0.5,1,swimmer,23718,81375,55418,25957,2609,2724,9075.918268,52694,0.615484,0.172238,0.795082
OpenWater,BotSort,0.2,0.5,2,all,44190,131339,114221,17118,3455,2715,11872.033027,111506,0.822688,0.10647,0.917382
OpenWater,BotSort,0.2,0.5,2,boat,21785,55945,53649,2296,1683,740,3267.880939,52909,0.915649,0.061764,0.964242
OpenWater,BotSort,0.2,0.5,2,swimmer,22405,75394,60572,14822,1772,1975,8604.152088,58597,0.753707,0.146836,0.879525
OpenWater,BotSort,0.2,0.5,3,all,46546,162166,136628,25538,4783,3072,17476.749465,133556,0.794081,0.130857,0.900121
OpenWater,BotSort,0.2,0.5,3,boat,23816,63883,60638,3245,1462,517,4684.573565,60121,0.918226,0.077919,0.962638
OpenWater,BotSort,0.2,0.5,3,swimmer,22730,98283,75990,22293,3321,2555,12792.175899,73435,0.713389,0.174197,0.855772
OpenWater,BotSort,0.2,0.5,4,all,33833,112144,87610,24534,2868,2733,10183.245255,84877,0.731283,0.119976,0.864763
OpenWater,BotSort,0.2,0.5,4,boat,17279,49957,47014,2943,1312,886,3252.118803,46128,0.897091,0.070502,0.956707
OpenWater,BotSort,0.2,0.5,4,swimmer,16554,62187,40596,21591,1556,1847,6931.126452,38749,0.598083,0.178872,0.778156
OpenWater,BotSort,0.2,0.5,5,all,44851,135402,108391,27011,2848,3309,10398.302496,105082,0.755041,0.098954,0.878937
OpenWater,BotSort,0.2,0.5,5,boat,22011,61204,58463,2741,1250,896,3262.521189,57567,0.920152,0.056673,0.966994
OpenWater,BotSort,0.2,0.5,5,swimmer,22840,74198,49928,24270,1598,2413,7135.781307,47515,0.618844,0.15018,0.794248
